client_name,industry,score,date,comments,category,account_manager
Acme Corp,SaaS,7,2026-02-04,,Passives,Rachel Green
DataFlow Inc,SaaS,9,2026-05-12,The ROI has been clear and measurable,Promoters,Emily Rodriguez
Junction Media,Professional Services,8,2026-03-07,,Passives,Andrew Thompson
Oxford Learning Institute,Education,10,2026-03-26,"Outstanding results, exceeded our expectations",Promoters,David Kim
Xenith Technologies,SaaS,5,2026-02-09,Some projects have gone over timeline,Detractors,Andrew Thompson
DataFlow Inc,SaaS,10,2026-03-23,,Promoters,Jessica Patel
Meridian Health Systems,Healthcare,10,2026-06-16,,Promoters,Marcus Johnson
Vertex Construction,Real Estate,4,2026-06-12,,Detractors,Michael Torres
Riverside Properties,Real Estate,8,2026-06-16,Pricing feels high for the value delivered,Passives,Andrew Thompson
GlobalEd Solutions,Education,0,2026-05-19,They really understand our business,Detractors,Sarah Chen
Twin Oaks Manufacturing,Manufacturing,10,2026-06-14,Would like more strategic guidance rather than just execution,Promoters,David Kim
Lakeside Manufacturing,Manufacturing,9,2026-03-08,Quality has been inconsistent lately,Promoters,Michael Torres
Harbor Legal Group,Legal,8,2026-06-24,The ROI has been clear and measurable,Passives,Andrew Thompson
NorthStar Nonprofit,Nonprofit,5,2026-05-19,,Detractors,Michael Torres
GlobalEd Solutions,Education,6,2026-02-15,,Detractors,Jessica Patel
Kensington Advisors,Financial Services,8,2026-05-08,,Passives,David Kim
Riverside Properties,Real Estate,8,2026-02-09,Their expertise in our industry really shows,Passives,Sarah Chen
DataFlow Inc,SaaS,7,2026-07-02,Their expertise in our industry really shows,Passives,Jessica Patel
EcoBuild Partners,Real Estate,8,2026-07-03,,Passives,Sarah Chen
Xenith Technologies,SaaS,9,2026-01-29,,Promoters,David Kim
FreshCart Online,E-Commerce,7,2026-02-04,Pricing feels high for the value delivered,Passives,David Kim
Kensington Advisors,Financial Services,9,2026-07-07,,Promoters,Michael Torres
GlobalEd Solutions,Education,10,2026-05-28,The ROI has been clear and measurable,Promoters,David Kim
Acme Corp,SaaS,8,2026-05-21,The ROI has been clear and measurable,Passives,Marcus Johnson
GlobalEd Solutions,Education,3,2026-05-26,Support team is excellent - always helpful,Detractors,Emily Rodriguez
Vertex Construction,Real Estate,9,2026-03-11,,Promoters,Emily Rodriguez
Quantum Analytics,Professional Services,3,2026-05-26,,Detractors,Michael Torres
NorthStar Nonprofit,Nonprofit,9,2026-03-23,Quality has been inconsistent lately,Promoters,David Kim
Acme Corp,SaaS,8,2026-04-11,"Excellent partnership, feels like an extension of our team",Passives,Marcus Johnson
Acme Corp,SaaS,8,2026-02-12,Communication could be more proactive,Passives,Andrew Thompson
Meridian Health Systems,Healthcare,8,2026-04-28,Pricing feels high for the value delivered,Passives,David Kim
Lakeside Manufacturing,Manufacturing,8,2026-06-08,"The reporting needs improvement - too much data, not enough insights",Passives,Marcus Johnson
DataFlow Inc,SaaS,8,2026-02-27,Love the proactive suggestions for improvement,Passives,David Kim
Lakeside Manufacturing,Manufacturing,7,2026-04-18,,Passives,Marcus Johnson
Riverside Properties,Real Estate,7,2026-05-03,Very professional and knowledgeable team,Passives,Rachel Green
Harbor Legal Group,Legal,4,2026-06-13,The quarterly reviews are very valuable,Detractors,Michael Torres
InnovateTech,SaaS,7,2026-05-29,,Passives,Michael Torres
Riverside Properties,Real Estate,0,2026-05-10,"Excellent partnership, feels like an extension of our team",Detractors,Michael Torres
